,URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,WHOIS_COUNTRY,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
56,B0_656,24,6,Utf-8,Pa,23,3,15,2485,27,28,9332,2799,27,4.0,0
57,B0_1163,25,6,Utf-8,Ca,0,0,0,0,0,0,0,0,0,0.0,0
58,B0_1308,25,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
59,B0_1347,25,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
60,B0_2127,25,6,Us-ascii,Us,5,2,4,474,5,4,250,474,5,0.0,0
61,B0_2224,25,6,Utf-8,Not_available,6,5,2,564,6,7,442,564,6,0.0,0
62,B0_468,25,6,Utf-8,Us,12,0,5,1327,16,17,14050,1615,16,4.0,0
63,B0_568,25,6,Utf-8,Not_available,11,3,4,1232,15,16,9806,1530,15,4.0,0
64,B0_577,25,6,Utf-8,Th,18,7,9,1586,22,17,1735,1898,22,4.0,0
65,B0_704,25,6,Iso-8859-1,Us,36,17,9,4737,42,35,10343,5173,42,6.0,0
66,B0_781,25,6,Utf-8,Gb,0,0,0,0,0,0,0,0,0,0.0,0
67,B0_786,25,6,Us-ascii,Us,0,0,0,0,0,0,0,0,0,0.0,0
68,B0_886,25,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
69,M0_111,26,8,Utf-8,Not_available,12,0,2,1052,14,14,11935,1204,14,2.0,1
70,M0_15,26,8,Utf-8,Not_available,9,1,2,878,11,12,2242,1018,11,2.0,1
71,M0_171,26,7,Iso-8859-1,Us,24,0,3,2508,30,30,21098,2992,30,6.0,1
72,M0_68,26,7,Iso-8859-1,Gb,9,0,4,842,11,12,2101,994,11,2.0,1
73,M0_70,26,7,Iso-8859-1,Gb,7,0,2,722,11,10,2000,1016,11,4.0,1
74,M0_72,26,7,Iso-8859-1,Gb,7,0,2,722,11,9,1913,1036,11,4.0,1
75,B0_1125,26,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
76,B0_1205,26,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
77,B0_1321,26,6,Utf-8,Ca,0,0,0,0,0,0,0,0,0,0.0,0
78,B0_1374,26,6,Iso-8859-1,Pa,0,0,0,0,0,0,0,0,0,0.0,0
79,B0_159,26,6,Utf-8,Not_available,13,0,1,1378,19,19,6226,1856,19,6.0,0
80,B0_173,26,7,Utf-8,Us,26,19,5,2727,30,19,5765,2991,30,4.0,0
82,B0_2027,26,6,Iso-8859-1,Us,9,7,4,702,9,10,696,702,9,0.0,0
83,B0_2152,26,7,Utf-8,Not_available,11,9,7,882,11,9,562,882,11,0.0,0
84,B0_2293,26,6,Utf-8,Ca,4,3,2,396,4,6,482,396,4,0.0,0
85,B0_256,26,6,Iso-8859-1,Us,43,0,2,3252,47,47,60076,3564,47,4.0,0
86,B0_258,26,7,Utf-8,Us,46,12,11,3783,50,18,5605,4047,50,4.0,0
87,B0_297,26,7,Utf-8,Us,21,8,9,2373,25,27,6199,2637,25,4.0,0
88,B0_660,26,6,Utf-8,Us,7,0,2,984,11,12,1650,1300,11,4.0,0
89,B0_793,26,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
90,B0_859,26,6,Us-ascii,Us,0,0,0,0,0,0,0,0,0,0.0,0
91,B0_883,26,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
92,B0_928,26,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
93,B0_982,26,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
94,M0_67,27,7,Utf-8,Gb,38,0,3,4207,44,45,39662,4679,44,6.0,1
95,M0_75,27,7,Utf-8,Us,9,0,1,1838,11,13,4524,1992,11,2.0,1
96,B0_1209,27,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
97,B0_1353,27,6,Us-ascii,Us,0,0,0,0,0,0,0,0,0,0.0,0
98,B0_2085,27,6,Utf-8,Us,3,3,1,366,3,5,306,366,3,0.0,0
99,B0_362,27,6,Utf-8,Au,40,13,14,3781,46,44,34101,4253,46,6.0,0
100,B0_453,27,6,Utf-8,Not_available,6,0,4,631,8,11,812,787,8,2.0,0
101,B0_966,27,7,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
102,M0_21,28,9,Utf-8,Ru,5,0,1,592,7,9,1062,732,7,2.0,1
103,M0_94,28,7,Us-ascii,Us,5,0,2,556,9,9,1154,860,9,4.0,1
104,B0_1020,28,8,Utf-8,Uk,0,0,0,0,0,0,0,0,0,0.0,0
105,B0_1038,28,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
106,B0_1357,28,7,Iso-8859-1,Fr,0,0,0,0,0,0,0,0,0,0.0,0
107,B0_1413,28,7,Iso-8859-1,Nl,0,0,0,0,0,0,0,0,0,0.0,0
108,B0_2061,28,7,Us-ascii,Us,6,4,3,552,6,8,612,552,6,0.0,0
109,B0_2182,28,7,Iso-8859-1,Nl,8,4,6,696,8,10,634,696,8,0.0,0
110,B0_2228,28,6,Us-ascii,Us,5,3,3,474,5,6,364,474,5,0.0,0
111,B0_229,28,7,Utf-8,Ca,21,7,5,2830,29,25,6137,3400,29,8.0,0
112,B0_2309,28,6,Utf-8,In,14,9,2,2094,14,12,8019,2094,14,0.0,0
113,B0_310,28,7,Us-ascii,Not_available,17,1,7,1848,23,24,2167,2322,23,6.0,0
114,B0_332,28,7,Utf-8,Us,17,12,3,2314,23,27,21419,2740,23,6.0,0
115,B0_438,28,7,Utf-8,Us,66,5,11,6311,70,64,63634,6633,70,4.0,0
116,B0_563,28,6,Iso-8859-1,Us,28,5,8,2324,30,33,24662,2482,30,2.0,0
117,B0_638,28,8,Utf-8,Us,6,0,3,632,8,8,593,776,8,2.0,0
118,B0_695,28,7,Us-ascii,Not_available,33,26,4,3590,39,48,30057,4064,39,6.0,0
119,B0_835,28,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
120,B0_96,28,6,Utf-8,Us,26,19,3,2632,30,36,27404,2916,30,4.0,0
121,B0_981,28,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
122,M0_106,29,7,Iso-8859-1,Us,34,0,2,2934,40,40,34995,3416,40,6.0,1
123,M0_74,29,7,Us-ascii,Ug,5,0,2,593,7,8,1128,751,7,2.0,1
124,B0_1044,29,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
126,B0_1095,29,8,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
127,B0_1096,29,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
128,B0_1117,29,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
129,B0_1154,29,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
130,B0_1287,29,6,Utf-8,Jp,0,0,0,0,0,0,0,0,0,0.0,0
131,B0_1408,29,7,Iso-8859-1,Ca,0,0,0,0,0,0,0,0,0,0.0,0
132,B0_170,29,6,Iso-8859-1,Not_available,26,6,5,2519,30,30,22379,2851,30,4.0,0
133,B0_2024,29,6,Us-ascii,Us,12,8,6,900,12,9,568,900,12,0.0,0
134,B0_2089,29,7,Utf-8,Ca,709,708,3,2362906,709,837,83056,2362906,709,0.0,0
135,B0_2123,29,6,Utf-8,Us,5,4,2,486,5,7,542,486,5,0.0,0
136,B0_2128,29,6,Iso-8859-1,Us,15,8,7,1134,15,9,605,1134,15,0.0,0
137,B0_2166,29,6,Us-ascii,Ca,3,3,1,366,3,5,306,366,3,0.0,0
138,B0_2242,29,6,Iso-8859-1,Us,5,3,3,486,5,7,436,486,5,0.0,0
139,B0_2266,29,8,Utf-8,Us,17,9,10,1249,17,15,1062,1249,17,0.0,0
140,B0_259,29,6,Us-ascii,Not_available,34,9,6,2861,38,26,15260,3229,38,4.0,0
141,B0_44,29,6,Iso-8859-1,Us,10,2,9,612,12,14,918,772,12,2.0,0
142,B0_448,29,7,Iso-8859-1,Us,32,21,8,4561,38,36,10429,4997,38,6.0,0
143,B0_499,29,8,Utf-8,Us,33,6,5,3533,37,35,46688,3859,37,4.0,0
144,B0_626,29,8,Utf-8,Cn,28,0,5,3183,36,33,24455,3777,36,8.0,0
145,B0_642,29,6,Utf-8,Us,21,6,11,1515,23,18,1334,1675,23,2.0,0
146,B0_726,29,6,Utf-8,Us,24,1,3,2195,29,30,55576,2515,29,4.0,0
147,B0_887,29,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
148,B0_894,29,6,Iso-8859-1,Not_available,0,0,0,0,0,0,0,0,0,0.0,0
149,B0_920,29,8,Us-ascii,Au,0,0,0,0,0,0,0,0,0,0.0,0
150,B0_942,29,6,Iso-8859-1,Ca,0,0,0,0,0,0,0,0,0,0.0,0
151,B0_978,29,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
152,M0_112,30,8,Iso-8859-1,Not_available,7,0,2,666,9,9,1094,826,9,2.0,1
153,B0_1052,30,6,Utf-8,Se,0,0,0,0,0,0,0,0,0,0.0,0
154,B0_1388,30,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
155,B0_160,30,7,Utf-8,Us,14,9,3,1918,18,17,5546,2182,18,4.0,0
156,B0_169,30,6,Iso-8859-1,Us,62,52,12,8974,76,69,30726,10006,76,14.0,0
157,B0_209,30,6,Iso-8859-1,Us,22,17,2,3914,28,27,9833,4350,28,6.0,0
158,B0_2097,30,6,Iso-8859-1,Not_available,18,17,5,1188,18,19,1451,1188,18,0.0,0
160,B0_2282,30,6,Utf-8,Us,2,2,1,276,2,4,250,276,2,0.0,0
161,B0_330,30,6,Utf-8,Us,15,2,6,1528,19,17,5586,1860,19,4.0,0
162,B0_348,30,6,Us-ascii,Us,90,6,14,8646,92,100,95659,8808,92,2.0,0
163,B0_369,30,7,Iso-8859-1,Us,31,26,2,4412,37,37,27412,4848,37,6.0,0
164,B0_560,30,6,Utf-8,Us,31,23,3,3605,39,41,34388,4183,39,8.0,0
165,B0_639,30,6,Iso-8859-1,Us,76,47,12,9007,88,44,23985,9891,88,12.0,0
166,B0_711,30,7,Utf-8,Us,23,1,10,1902,27,26,2764,2194,27,4.0,0
167,B0_73,30,7,Iso-8859-1,Us,48,3,6,3418,52,48,57377,3706,52,4.0,0
168,B0_824,30,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
169,B0_891,30,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
170,B0_931,30,7,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
171,M0_73,31,7,Us-ascii,Us,7,0,2,707,11,11,1018,1031,11,4.0,1
172,B0_1028,31,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
173,B0_1114,31,7,Iso-8859-1,Not_available,0,0,0,0,0,0,0,0,0,0.0,0
174,B0_1127,31,7,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
175,B0_1241,31,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
176,B0_140,31,6,Iso-8859-1,Us,65,53,14,8568,77,70,26049,9452,77,12.0,0
177,B0_2158,31,6,Utf-8,Not_available,9,3,7,738,9,12,766,738,9,0.0,0
178,B0_2278,31,7,Utf-8,Ca,4,3,2,432,4,6,372,432,4,0.0,0
179,B0_263,31,8,Iso-8859-1,In,5,0,1,593,9,9,955,929,9,4.0,0
180,B0_501,31,7,Utf-8,Us,28,13,13,2773,32,32,6566,3037,32,4.0,0
181,B0_504,31,7,Utf-8,Us,27,0,3,2743,33,33,43878,3181,33,6.0,0
182,B0_597,31,6,Us-ascii,Us,23,1,4,2262,29,28,16553,2736,29,6.0,0
183,B0_65,31,6,Us-ascii,Not_available,18,14,3,2201,22,23,7756,2543,22,4.0,0
184,B0_658,31,6,Iso-8859-1,Not_available,23,17,3,3981,29,27,9867,4417,29,6.0,0
185,B0_698,31,8,Us-ascii,Us,103,0,3,7073,105,113,179439,7217,105,2.0,0
186,B0_705,31,6,Utf-8,Us,13,8,8,1355,16,16,1145,1519,16,2.0,0
187,B0_761,31,7,Iso-8859-1,Us,57,45,12,8136,69,64,25686,9020,69,12.0,0
188,B0_850,31,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
189,B0_945,31,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
190,B0_992,31,7,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
191,M0_136,32,11,Utf-8,Not_available,22,1,5,2783,30,26,3824,3367,30,8.0,1
192,M0_140,32,9,Utf-8,Not_available,14,1,4,1457,20,16,3229,1881,20,6.0,1
193,B0_1175,32,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
194,B0_1181,32,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
195,B0_1222,32,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
196,B0_128,32,9,Utf-8,Not_available,17,5,8,1314,19,26,1881,1452,19,2.0,0
197,B0_1341,32,8,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
198,B0_1372,32,6,Utf-8,Ca,0,0,0,0,0,0,0,0,0,0.0,0
199,B0_1381,32,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
200,B0_14,32,7,Utf-8,Us,14,10,2,2000,20,20,9588,2498,20,6.0,0
201,B0_165,32,7,Iso-8859-1,Us,49,42,5,7613,61,52,24774,8497,61,12.0,0
202,B0_176,32,8,Utf-8,Not_available,24,0,4,2176,28,29,17335,2456,28,4.0,0
203,B0_2015,32,6,Utf-8,Not_available,4,3,2,432,4,5,310,432,4,0.0,0
204,B0_2095,32,8,Utf-8,Uk,5,3,2,474,5,7,426,474,5,0.0,0
205,B0_218,32,7,Utf-8,Us,94,0,4,11902,102,121,173484,12492,102,8.0,0
206,B0_2229,32,8,Us-ascii,Not_available,11,10,6,798,11,15,1124,798,11,0.0,0
207,B0_2271,32,6,Iso-8859-1,Us,6,3,4,564,6,7,442,564,6,0.0,0
208,B0_254,32,8,Iso-8859-1,Si,8,1,4,816,10,13,1541,958,10,2.0,0
209,B0_303,32,7,Iso-8859-1,Us,71,0,3,10999,73,70,88707,11147,73,2.0,0
210,B0_40,32,7,Utf-8,Us,43,26,14,4214,49,28,9246,4650,49,6.0,0
211,B0_400,32,8,Utf-8,Us,36,0,2,3185,40,40,50608,3465,40,4.0,0
212,B0_437,32,8,Utf-8,Us,24,2,4,1888,28,25,40314,2168,28,4.0,0
213,B0_491,32,7,Utf-8,Not_available,7,0,3,734,11,12,7145,1060,11,4.0,0
214,B0_507,32,7,Utf-8,Us,38,2,5,4607,42,35,58676,4945,42,4.0,0
215,B0_582,32,8,Iso-8859-1,Us,13,0,2,2065,17,16,7280,2349,17,4.0,0
216,B0_937,32,7,Us-ascii,Us,0,0,0,0,0,0,0,0,0,0.0,0
217,M0_122,33,11,Utf-8,Not_available,13,1,5,1497,17,14,2116,1787,17,4.0,1
218,M0_125,33,9,Utf-8,Not_available,23,1,5,2851,31,26,3814,3431,31,8.0,1
219,M0_138,33,9,Utf-8,Not_available,18,1,5,2147,24,20,2848,2577,24,6.0,1
220,M0_142,33,9,Utf-8,Not_available,4,0,4,264,4,6,388,264,4,0.0,1
221,M0_59,33,9,Utf-8,Not_available,14,1,8,1151,18,15,1211,1445,18,4.0,1
222,M0_96,33,11,Utf-8,Not_available,8,0,2,1045,12,11,1362,1333,12,4.0,1
223,B0_1068,33,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
224,B0_1101,33,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
225,B0_1141,33,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
226,B0_1190,33,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
227,B0_1239,33,6,Iso-8859-1,Jp,0,0,0,0,0,0,0,0,0,0.0,0
228,B0_1288,33,6,Utf-8,Ca,0,0,0,0,0,0,0,0,0,0.0,0
229,B0_1350,33,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
230,B0_1390,33,9,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
231,B0_1419,33,7,Iso-8859-1,Jp,0,0,0,0,0,0,0,0,0,0.0,0
232,B0_163,33,8,Utf-8,Us,52,7,8,3438,56,51,46498,3718,56,4.0,0
233,B0_2100,33,7,Iso-8859-1,Not_available,4,3,2,420,4,5,304,420,4,0.0,0
234,B0_2126,33,6,Utf-8,Us,7,5,4,606,7,6,474,606,7,0.0,0
235,B0_215,33,8,Utf-8,Us,32,11,6,3694,40,32,11543,4286,40,8.0,0
236,B0_2155,33,7,Utf-8,Us,4,2,3,408,4,6,382,408,4,0.0,0
237,B0_2205,33,6,Utf-8,Us,8,4,5,660,8,9,556,660,8,0.0,0
238,B0_2219,33,6,Iso-8859-1,Us,5,4,2,486,5,7,542,486,5,0.0,0
239,B0_2289,33,8,Utf-8,Us,10,4,4,816,10,6,476,816,10,0.0,0
240,B0_312,33,6,Utf-8,Us,24,1,4,3375,28,30,18396,3703,28,4.0,0
241,B0_570,33,8,Utf-8,Il,19,0,3,2042,27,27,4760,2622,27,8.0,0
242,B0_652,33,7,Utf-8,Us,105,98,7,8692,111,130,179133,9172,111,6.0,0
243,B0_783,33,6,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
244,M0_130,34,11,Utf-8,Not_available,27,5,8,2721,35,27,3896,3313,35,8.0,1
245,M0_159,34,11,Utf-8,Not_available,15,1,5,1632,21,18,2661,2068,21,6.0,1
246,M0_166,34,9,Iso-8859-1,Ru,26,0,3,3569,32,31,10750,4037,32,6.0,1
247,M0_180,34,9,Iso-8859-1,Not_available,9,0,4,850,11,14,1382,990,11,2.0,1
248,B0_1036,34,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
249,B0_1054,34,7,Us-ascii,Gb,0,0,0,0,0,0,0,0,0,0.0,0
250,B0_1087,34,7,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
251,B0_110,34,7,Iso-8859-1,Us,33,27,2,5235,41,40,14571,5835,41,8.0,0
252,B0_1207,34,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
253,B0_1337,34,6,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
254,B0_1342,34,7,Iso-8859-1,Ca,0,0,0,0,0,0,0,0,0,0.0,0
255,B0_1382,34,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
256,B0_2098,34,7,Utf-8,Us,6,3,4,552,6,9,564,552,6,0.0,0
257,B0_2104,34,7,Utf-8,Ca,8,6,5,696,8,10,636,696,8,0.0,0
258,B0_2124,34,6,Utf-8,Not_available,34,9,9,2412,34,7,442,2412,34,0.0,0
259,B0_2125,34,7,Utf-8,In,3,3,1,366,3,5,306,366,3,0.0,0
260,B0_2142,34,9,Iso-8859-1,Gb,5,3,2,498,5,5,306,498,5,0.0,0
261,B0_2221,34,9,Utf-8,Not_available,3,3,1,366,3,4,244,366,3,0.0,0
262,B0_2320,34,9,Iso-8859-1,Us,4,3,2,432,4,5,310,432,4,0.0,0
263,B0_322,34,8,Utf-8,Not_available,17,1,2,1661,23,26,10015,2167,23,6.0,0
264,B0_460,34,7,Utf-8,Us,42,0,3,4895,46,45,39544,5241,46,4.0,0
265,B0_493,34,6,Utf-8,Us,34,25,9,3787,42,42,33677,4365,42,8.0,0
266,B0_586,34,9,Iso-8859-1,Us,21,0,5,2292,23,24,16147,2450,23,2.0,0
267,B0_688,34,6,Iso-8859-1,Us,24,20,2,4372,31,33,13095,4808,31,6.0,0
268,B0_746,34,8,Iso-8859-1,Us,7,0,2,716,11,10,1979,1030,11,4.0,0
269,B0_760,34,7,Iso-8859-1,Us,23,3,11,2042,29,29,7939,2520,29,6.0,0
270,B0_864,34,7,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
271,B0_897,34,7,Iso-8859-1,Us,0,0,0,0,0,0,0,0,0,0.0,0
272,B0_961,34,6,Us-ascii,Us,0,0,0,0,0,0,0,0,0,0.0,0
273,M0_107,35,9,Iso-8859-1,Not_available,39,0,3,3240,45,45,35301,3722,45,6.0,1
274,M0_108,35,9,Iso-8859-1,Not_available,39,0,2,3240,45,45,35301,3722,45,6.0,1
275,M0_110,35,11,Utf-8,Ca,18,0,2,2102,20,21,20976,2252,20,2.0,1
276,M0_123,35,11,Utf-8,Not_available,15,1,5,1635,21,17,2640,2073,21,6.0,1
277,M0_124,35,11,Utf-8,Not_available,21,1,5,2367,29,26,3801,2957,29,8.0,1
278,M0_127,35,9,Utf-8,Not_available,12,1,5,1340,16,12,964,1622,16,4.0,1
279,M0_135,35,11,Utf-8,Not_available,19,1,5,2223,25,20,2868,2661,25,6.0,1
280,M0_137,35,11,Utf-8,Not_available,18,1,5,2157,24,22,2996,2595,24,6.0,1
281,M0_148,35,11,Utf-8,Not_available,19,1,5,2223,25,22,2996,2661,25,6.0,1
282,M0_152,35,11,Utf-8,Not_available,23,1,5,2864,31,25,3773,3454,31,8.0,1
283,M0_165,35,8,Iso-8859-1,Ru,15,1,2,1850,21,23,2970,2302,21,6.0,1
284,B0_1029,35,9,Iso-8859-1,Ky,0,0,0,0,0,0,0,0,0,0.0,0
285,B0_1148,35,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
286,B0_1299,35,8,Utf-8,Us,0,0,0,0,0,0,0,0,0,0.0,0
287,B0_144,35,6,Us-ascii,Not_available,22,15,8,1527,24,25,1928,1699,24,2.0,0
288,B0_183,35,8,Utf-8,Us,21,1,4,2435,25,25,39924,2715,25,4.0,0
289,B0_194,35,9,Us-ascii,Us,49,10,6,2961,53,61,38255,3261,53,4.0,0
