,Type
304,1
905,1
555,0
676,0
1232,1
786,0
398,0
1235,0
240,0
271,1
199,0
711,0
271,1
1265,0
1308,1
1410,1
654,0
708,0
295,0
37,0
95,0
288,1
1131,1
1306,1
1386,0
136,1
891,0
462,1
849,1
906,1
873,0
816,0
687,0
1179,1
337,0
920,1
1274,0
122,1
817,0
895,0
343,0
1233,0
788,0
834,0
573,0
1093,0
1410,1
670,0
965,0
740,0
1146,1
739,1
176,1
713,0
1159,0
890,1
800,1
400,0
1308,1
1291,0
153,0
439,1
498,1
1131,1
216,0
913,0
271,1
696,1
720,1
1031,1
1257,0
877,0
517,1
1064,0
302,0
265,1
438,0
777,0
781,0
1321,1
206,0
911,1
506,1
520,0
581,1
382,0
346,0
1206,1
1182,0
506,1
479,0
397,0
248,1
579,0
366,0
1165,0
1101,0
1028,0
288,1
741,1
749,1
411,1
553,1
310,0
409,0
1336,1
536,1
268,0
127,0
933,1
792,0
1179,1
1256,0
1166,0
157,0
1005,1
41,0
1083,0
875,0
55,1
948,0
811,0
1131,1
434,1
262,1
220,0
31,1
1120,1
644,0
584,0
148,0
164,0
447,1
979,0
1157,0
421,0
1129,1
1047,1
734,1
517,1
998,0
763,0
794,0
758,1
632,0
402,0
28,1
1129,1
911,1
652,0
766,1
906,1
450,0
920,1
1306,1
607,0
488,0
1417,0
243,0
1145,0
914,1
173,0
1356,0
870,1
720,1
59,1
1094,1
906,1
548,1
47,1
854,0
556,1
1067,0
623,1
1020,1
179,0
463,0
256,1
672,1
1284,0
940,0
1129,1
278,0
996,0
801,0
280,1
394,1
741,1
276,1
1275,1
458,1
287,1
1306,1
393,0
749,1
396,0
434,1
283,0
55,1
97,0
1344,0
1263,1
130,0
893,0
340,0
56,0
911,1
954,0
953,0
1326,0
449,0
988,0
326,0
31,1
587,0
959,1
972,1
1252,1
444,0
440,0
1241,1
276,1
497,0
29,0
696,1
950,0
791,0
317,0
1383,0
814,0
569,1
735,0
107,0
824,1
496,1
1236,0
218,0
601,1
946,1
1120,1
1020,1
45,0
1146,1
498,1
422,1
1418,0
646,0
1146,1
1319,1
585,0
221,0
650,0
475,0
672,1
1070,1
946,1
1280,0
248,1
101,1
276,1
417,0
1321,1
1328,0
808,0
12,1
796,1
1263,1
838,0
588,0
1181,0
537,1
959,1
358,0
327,0
933,1
1290,0
548,1
1113,1
48,0
27,1
18,1
304,1
1232,1
1094,1
1273,0
1261,1
1288,0
101,1
262,1
1108,0
447,1
50,0
1245,0
1057,0
34,1
975,1
1081,1
889,0
1353,0
864,0
661,0
1121,0
195,0
720,1
131,0
320,0
719,0
1212,0
1004,0
716,1
287,1
1163,1
955,1
1263,1
829,0
543,1
1388,1
976,0
284,0
920,1
926,1
766,1
672,1
776,0
866,0
462,1
1321,1
1133,0
762,1
812,1
871,0
1403,0
529,0
91,1
174,0
90,1
542,1
1100,0
47,1
849,1
1263,1
1169,0
1215,0
55,1
749,1
207,0
27,1
134,1
647,0
318,0
946,1
439,1
1039,0
1068,0
260,0
21,1
125,0
403,0
1098,0
1349,0
262,1
653,1
434,1
394,1
797,1
1078,1
106,0
1053,1
7,0
739,1
163,0
1193,1
589,0
548,1
761,1
543,1
1409,1
1187,0
431,0
426,0
1140,1
1201,1
525,0
716,1
473,1
932,0
890,1
256,1
1079,1
1106,0
1077,0
527,1
1289,1
499,0
1370,0
214,0
280,1
416,0
17,0
905,1
972,1
1392,0
362,0
1054,0
847,0
217,0
1226,1
101,1
74,1
1000,1
753,0
1031,1
545,0
805,0
1056,0
528,1
1395,1
1072,0
946,1
1129,1
533,1
12,1
603,1
104,0
83,1
653,1
762,1
849,1
870,1
569,1
1014,0
85,0
1049,0
633,0
1160,0
872,0
1399,0
1384,0
21,1
1045,0
853,0
1020,1
623,1
815,0
749,1
434,1
237,1
1350,0
196,0
1201,1
141,0
631,1
631,1
995,0
1156,0
1221,0
357,0
553,1
897,0
1232,1
1118,1
338,0
919,0
313,1
749,1
1259,0
837,0
675,0
749,1
795,1
737,0
1289,1
18,1
1146,1
78,0
756,0
973,0
1285,0
720,1
1079,1
1228,0
858,0
1289,1
1267,0
734,1
83,1
926,1
1407,0
823,1
586,1
411,1
796,1
536,1
671,1
12,1
306,0
200,0
419,0
80,0
99,0
986,0
744,0
280,1
105,0
1365,0
938,0
1395,1
1139,0
248,1
458,1
971,0
1113,1
739,1
911,1
194,0
12,1
1053,1
1017,0
1110,0
997,0
1201,1
685,0
571,0
1129,1
423,0
352,1
480,1
665,0
1241,1
651,0
1154,0
849,1
1241,1
469,1
1308,1
1305,0
890,1
511,0
752,0
14,0
839,0
150,1
726,1
425,0
1270,0
36,1
285,0
265,1
1193,1
83,1
890,1
905,1
228,0
21,1
1047,1
315,0
23,0
537,1
983,0
1031,1
1151,0
502,0
920,1
293,0
907,0
510,0
514,0
1131,1
230,1
690,0
277,0
762,1
1341,0
543,1
1378,0
581,1
1096,0
128,0
491,0
158,0
680,0
774,1
1164,0
1303,0
496,1
943,0
911,1
726,1
35,1
1223,0
1031,1
778,0
485,0
1170,0
367,0
961,0
819,0
1027,0
1002,0
951,0
767,0
1351,1
1409,1
